caption,time,sharedPost/pageName/name,shares,engagements,cleaned_text,topic,topic_name
"Thunderstorm Advisory No. 1  #MINPRSD

Issued at 01:10 AM 17 January 2025

Light to Moderate rainshowers with lightning and strong winds are expected over#LanaoDelNorte  (ILIGAN CITY ) within the next 2-3 hours.

All are advised to take precautionary measures against the impacts associated with these hazards which include flash floods and landslides. 

Keep monitoring for updates.",2025-01-16T17:29:44.000Z,,0,2,thunderstorm advisory HASHTAG_minprsd issued january light moderate rainshowers lightning strong winds expected overHASHTAG_lanaodelnorte city within next hours advised take precautionary measures impacts associated hazards include flash floods landslides keep monitoring updates,2,Thunderstorm Safety Advisory
"Tropical Cyclone and Low Pressure Area Update:
Typhoon (YINXING) (formerly ""MARCE "") #MarcePH and Tropical Depression ""NIKA"" #NikaPH as of 10:00 AM today.

Low Pressure Area (LPA 11b) has developed into a Tropical Depression and was named ""NIKA"". While Low Pressure Area (LPA 11c) has a MEDIUM chance of developing into a Tropical Depression within the next 24hrs.

Everyone is advised to monitor updates from DOST-PAGASA",2024-11-09T03:00:56.000Z,,2,6,tropical cyclone low pressure area update typhoon yinxing formerly marce HASHTAG_marceph tropical depression nika HASHTAG_nikaph today low pressure area lpa developed tropical depression named nika low pressure area lpa medium chance developing tropical depression within next hrs everyone advised monitor updates dostpagasa,7,Weather Disturbance Updates
"Tropical Cyclone update as of 10:00 PM today.

No other Low Pressure Areas are being monitored for Tropical Cyclone formation.

All are advised to monitor updates from DOST-PAGASA.",2024-09-20T15:04:49.000Z,DOST-PAGASA,0,3,tropical cyclone update pm today low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"At 8:00 AM today, The Low Pressure Area (LPA 12a) being monitored inside the Philippine Area of Responsibility (PAR) has a HIGH chance of development into a tropical depression within the next 24 hours.

All are advised to monitor updates from DOST-PAGASA.",2024-12-19T02:42:45.000Z,DOST-PAGASA,0,5,today low pressure area lpa monitored inside philippine area responsibility par high chance development tropical depression within next hours advised monitor updates dostpagasa,7,Weather Disturbance Updates
"TROPICAL CYCLONE BULLETIN NR. 1
Tropical Depression #NikaPH
Issued at 11:00 AM, 09 November 2024
Valid for broadcast until the next bulletin at 5:00 PM today.

Link to full details: https://tinyurl.com/yeyt4am9",2024-11-09T03:50:19.000Z,,10,5,tropical cyclone bulletin nr tropical depression HASHTAG_nikaph issued november valid broadcast next bulletin pm today link full details,0,Tropical Cyclone Bulletin
"At 8:00 AM today, the Low Pressure Area (LPA) 09g outside the Philippine Area of Responsibility developed into a Tropical Depression. 

Meanwhile, two (2) other low pressure areas are being monitored for Tropical Cyclone Formation.

All are advised to monitor updates from DOST-PAGASA.",2024-09-26T04:24:30.000Z,DOST-PAGASA,4,11,today low pressure area lpa outside philippine area responsibility developed tropical depression meanwhile two low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa,7,Weather Disturbance Updates
🌐 Iligan City Advances Towards Smart and Data-Driven Governance with UP Diliman,2025-02-02T03:41:18.000Z,Freddie Siao,0,5,city advances towards smart datadriven governance diliman,8,Emergency Hotlines
"𝐎𝐩𝐞𝐫𝐚𝐭𝐢𝐨𝐧𝐬 & 𝐖𝐚𝐫𝐧𝐢𝐧𝐠 𝐑𝐞𝐬𝐩𝐨𝐧𝐬𝐞𝐬
FEBRUARY 28, 2025    |    FRIDAY
_____________________________
𝗙𝗼𝗿 𝗲𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝗶𝗲𝘀, 𝗷𝘂𝘀𝘁 𝗰𝗮𝗹𝗹:
Telephone: (63) 221-8459 / 225-3215
TM/Globe: 0997-726-2692 
Smart: 0969-233-7878
#ICDRRMOPROACTIVE
#RESCUE811
#opsandwarning
#AsensoIliganon",2025-03-01T02:00:27.000Z,,1,8,Operations Warning Responses february friday _____________________________ For emergencies call telephone tmglobe smart HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_opsandwarning HASHTAG_asensoiliganon,8,Emergency Hotlines
"MINDANAO WEATHER FORECAST #MINPRSD

ISSUED AT: 5:00 AM 23 September 2024
VALID UNTIL: 5:00 AM Tomorrow

SYNOPSIS: Easterlies affecting eastern section of Mindanao. 
FORECAST:
Caraga and Davao Region will have partly cloudy to cloudy skies with isolated rainshowers or thunderstorms caused by Easterlies. Rest of Mindanao will be partly cloudy to cloudy skies with isolated rainshowers or thunderstorms due to Localized Thunderstorms. Light to moderate winds from the east to southeast with slight to moderate seas.",2024-09-23T00:32:19.000Z,,0,5,mindanao weather forecast HASHTAG_minprsd issued september valid tomorrow synopsis easterlies affecting eastern section mindanao forecast caraga davao region partly cloudy cloudy skies isolated rainshowers thunderstorms caused easterlies rest mindanao partly cloudy cloudy skies isolated rainshowers thunderstorms due localized thunderstorms light moderate winds east southeast slight moderate seas,9,Weather Advisory
"𝗣𝗔𝗛𝗜𝗕𝗔𝗟𝗢 ‼️

Aduna kitay pagahimuon nga 𝟒𝐭𝐡 𝐐𝐮𝐚𝐫𝐭𝐞𝐫 𝐍𝐚𝐭𝐢𝐨𝐧𝐰𝐢𝐝𝐞 𝐒𝐢𝐦𝐮𝐥𝐭𝐚𝐧𝐞𝐨𝐮𝐬 𝐄𝐚𝐫𝐭𝐡𝐪𝐮𝐚𝐤𝐞 𝐃𝐫𝐢𝐥𝐥 (𝐍𝐒𝐄𝐃) karong 𝐍𝐨𝐯𝐞𝐦𝐛𝐞𝐫 𝟏𝟒, 𝟐𝟎𝟐𝟒, 𝐡𝐮𝐰𝐞𝐛𝐞𝐬 sa alas 𝐝𝐨𝐬 𝐬𝐚 𝐡𝐚𝐩𝐨𝐧.

Tibuok Pilipinas, apil kita diri sa Iligan dungan sa pagpindot sa siren o alarm, dili lang kita ma tingala o mag-panic o ka ratol, kon maka dungog kita sa siren o alarm, adunay usab kitay mga senaryo o drama nga pagahimuon sa atong syudad.

Kay kini na mga aktibidadis, obserbahan kung unsa ka alerto o kung unsa mu-responde ang lokal na gobyerno diri sa Iligan kon adunay kusog nga paglinog na atong masinati.

𝗗𝘂𝗻𝗴𝗮𝗻 𝗸𝗶𝘁𝗮𝗻𝗴 𝗺𝗮𝗴-𝗗𝗨𝗖𝗞, 𝗖𝗢𝗩𝗘𝗥, 𝗮𝗻𝗱 𝗛𝗢𝗟𝗗!

#ICDRRMO
#BidaAngHanda 
#NSED2024
#ResiliencePH
#AsensoIliganon",2024-11-13T07:38:13.000Z,,23,29,PAHIBALO aduna kitay pagahimuon th Quarter Nationwide Simultaneous Earthquake Drill NSED karong November huwebes alas dos hapon tibuok pilipinas apil diri dungan pagpindot siren alarm lang tingala magpanic ka ratol kon maka dungog siren alarm usab kitay senaryo drama pagahimuon atong syudad aktibidadis obserbahan kung unsa ka alerto kung unsa muresponde lokal gobyerno diri kon kusog paglinog atong masinati Dungan kitang magDUCK COVER HOLD HASHTAG_icdrrmo HASHTAG_bidaanghanda HASHTAG_nsed HASHTAG_resilienceph HASHTAG_asensoiliganon,7,Weather Disturbance Updates
"As of 2:00 PM today, No Low Pressure Areas are being monitored for tropical cyclone formation.

All are advised to monitor updates from Dost_pagasa.",2025-02-20T09:09:44.000Z,DOST-PAGASA,0,4,pm today low pressure areas monitored tropical cyclone formation advised monitor updates dost_pagasa,3,PAGASA Weather Advisory
"𝐈𝐋𝐏𝐈 𝐒𝐄𝐑𝐕𝐈𝐂𝐄 𝐈𝐍𝐓𝐄𝐑𝐑𝐔𝐏𝐓𝐈𝐎𝐍 𝐀𝐃𝐕𝐈𝐒𝐎𝐑𝐘:
Additional Scheduled Power Interruption on October 17, 2024.
Kindly see the details below:

DATE: Thursday, October 17, 2024 
TIME: 9:00AM to 12:00 PM

REASON: Primary pole maintenance 

AFFECTED AREAS:
Part of Brgy. Pala-o
Area: Purok 2 & 3, Noria, & General Aguinaldo Street 

ILPI shall exert all efforts to restore electric service as scheduled. However, there are instances when the restoration is implemented earlier than expected or may extend beyond the announced schedule due to unavoidable circumstances. 

Thank you for bearing with us.

𝑭𝒐𝒓 𝒎𝒐𝒓𝒆 𝒖𝒑𝒅𝒂𝒕𝒆𝒔 𝒐𝒏 𝑺𝒄𝒉𝒆𝒅𝒖𝒍𝒆𝒅 𝒂𝒏𝒅 𝑼𝒏𝒔𝒄𝒉𝒆𝒅𝒖𝒍𝒆𝒅 𝒑𝒐𝒘𝒆𝒓 𝒊𝒏𝒕𝒆𝒓𝒓𝒖𝒑𝒕𝒊𝒐𝒏𝒔, 𝒗𝒊𝒔𝒊𝒕 𝒚𝒐𝒖𝒓 𝑰𝑳𝑷𝑰 𝒎𝒐𝒃𝒊𝒍𝒆 𝑨𝒑𝒑 𝑨𝒄𝒄𝒐𝒖𝒏𝒕.

𝑫𝒐𝒏’𝒕 𝒉𝒂𝒗𝒆 𝒂𝒏 𝒂𝒄𝒄𝒐𝒖𝒏𝒕 𝒚𝒆𝒕? 𝑽𝒊𝒔𝒊𝒕 𝒍𝒊𝒏𝒌 𝒕𝒐 𝒌𝒏𝒐𝒘 𝒉𝒐𝒘?
https://buff.ly/48bAZd4",2024-10-15T05:29:39.000Z,"Iligan Light & Power, Inc.",0,6,ILPI SERVICE INTERRUPTION ADVISORY additional scheduled power interruption october kindly see details date thursday october time pm reason primary pole maintenance affected areas part brgy palao area purok noria general aguinaldo street ilpi shall exert efforts restore electric service scheduled however instances restoration implemented earlier expected extend beyond announced schedule due unavoidable circumstances thank bearing us For updates Scheduled Unscheduled power interruptions visit ILPI mobile App Account Dont account yet Visit link know,3,PAGASA Weather Advisory
"As of 2:00 PM today, No Low Pressure Areas are being monitored for tropical cyclone formation.
All are advised to monitor updates from DOST-PAGASA.",2025-01-17T09:26:40.000Z,,0,6,pm today low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"𝗕𝗔𝗦𝗔𝗛𝗜𝗡: 𝗣𝗼𝘀𝗶𝗯𝗹𝗲 𝗻𝗴𝗮 𝗯𝗮𝗻𝗴 𝘁𝘂𝗺𝗮𝗺𝗮 𝗮𝗻𝗴 𝗺𝗮𝗴𝗻𝗶𝘁𝘂𝗱𝗲 𝟴 𝗻𝗮 𝗹𝗶𝗻𝗱𝗼𝗹 𝘀𝗮 𝗣𝗶𝗹𝗶𝗽𝗶𝗻𝗮𝘀?

Ang lindol ay maaaring maganap anumang oras o araw, kaya mahalaga na tayo ay handa bago pa mangyari ang sakuna. Narito ang ilan sa mga dapat gawin bago, habang, at pagkatapos ng lindol para mapanatiling ligtas ang sarili at buong pamilya.

Mga Paghahanda sa Lindol – Bago, Habang, at Pagkatapos: https://www.facebook.com/PHIVOLCS/posts/pfbid022DKbdNtAwuA5bK2RWhqwfLgata7xvcF7MmgbYqBacZft6babBT53hCs7DUYKCJKal",2025-03-31T05:46:01.000Z,Philippine Institute of Volcanology and Seismology (PHIVOLCS-DOST),6,13,BASAHIN Posible tumama magnitude lindol Pilipinas lindol maaaring maganap anumang oras araw mahalaga handa bago mangyari sakuna narito ilan dapat gawin bago habang pagkatapos lindol mapanatiling ligtas sarili buong pamilya paghahanda lindol bago habang pagkatapos,7,Weather Disturbance Updates
"𝐎𝐩𝐞𝐫𝐚𝐭𝐢𝐨𝐧𝐬 & 𝐖𝐚𝐫𝐧𝐢𝐧𝐠 𝐑𝐞𝐬𝐩𝐨𝐧𝐬𝐞𝐬
𝐌𝐚𝐫𝐜𝐡 𝟑𝟎, 𝟐𝟎𝟐𝟓 | 𝐒𝐮𝐧𝐝𝐚𝐲
_____________________________
𝗙𝗼𝗿 𝗲𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝗶𝗲𝘀, 𝗷𝘂𝘀𝘁 𝗰𝗮𝗹𝗹:
Telephone: (63) 221-8459
TM/Globe: 0997-726-2692 
Smart: 0969-233-7878
#ICDRRMOPROACTIVE
#RESCUE811
#opsandwarning
#AsensoIliganon",2025-03-31T00:05:16.000Z,,0,3,Operations Warning Responses March Sunday _____________________________ For emergencies call telephone tmglobe smart HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_opsandwarning HASHTAG_asensoiliganon,8,Emergency Hotlines
"𝐈𝐂𝐃𝐑𝐑𝐌𝐎 𝐖𝐄𝐀𝐓𝐇𝐄𝐑 𝐔𝐏𝐃𝐀𝐓𝐄
ISSUED AT: 5:00 AM 28 October 2024
VALID UNTIL: 5:00 AM Tomorrow

𝐒𝐘𝐍𝐎𝐏𝐒𝐈𝐒: At 3:00 AM today, Tropical Storm ""LEON"" {KONG-REY} was estimated based on all available data at 850 km East of Central Luzon (16.5 °N, 130.1°E) with maximum sustained winds of 85 km/h and gustiness of up to 105 km/h. it is moving Westward at 10 km/h.
 
𝐅𝐎𝐑𝐄𝐂𝐀𝐒𝐓:
Zamboanga del Norte, Surigao del Norte, and Dinagat Islands will have cloudy skies with scattered rains and thunderstorms due to the Trough of TS Leon. Rest of Mindanao will have partly cloudy to cloudy skies with isolated rainshowers or thunderstorms due to Localized Thunderstorms. Light to moderate winds from west with slight to moderate rseas (1.2 to 2.5meters).

𝘚𝘖𝘜𝘙𝘊𝘌:  𝘋𝘖𝘚𝘛 𝘗𝘈𝘎𝘈𝘚𝘈 𝘔𝘐𝘕𝘋𝘈𝘕𝘈𝘖 𝘗𝘙𝘚𝘋",2024-10-27T21:33:21.000Z,,7,24,ICDRRMO WEATHER UPDATE issued october valid tomorrow SYNOPSIS today tropical storm leon kongrey estimated based available data km east central luzon maximum sustained winds kmh gustiness kmh moving westward kmh FORECAST zamboanga del norte surigao del norte dinagat islands cloudy skies scattered rains thunderstorms due trough ts leon rest mindanao partly cloudy cloudy skies isolated rainshowers thunderstorms due localized thunderstorms light moderate winds west slight moderate rseas meters SOURCE DOST PAGASA MINDANAO PRSD,9,Weather Advisory
"As of 2:00 AM today, no Low Pressure Areas are being monitored for tropical cyclone formation.

All are advised to monitor updates from DOST-PAGASA.",2025-02-24T22:29:56.000Z,,1,5,today low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"TROPICAL CYCLONE BULLETIN NR. 23
Super Typhoon #JulianPH (KRATHON)
Issued at 11:00 AM, 01 October 2024
Valid for broadcast until the next bulletin at 5:00 PM today.

“JULIAN” SLIGHTLY INTENSIFIES AND IS NOW OUTSIDE THE PHILIPPINE AREA OF RESPONSIBILITY BUT MAY STILL RE-ENTER TOMORROW.

 • Location of Center (10:00 AM):
The center of the eye of Super Typhoon JULIAN was estimated based on all available data 235 km West of Itbayat, Batanes (20.7°N, 119.6°E)
 • Intensity:
Maximum sustained winds of 195 km/h near the center, gustiness of up to 240 km/h, and central pressure of 915 hPa
 • Present Movement:
Westward slowly
 • Extent of Tropical Cyclone Winds:
Strong to typhoon-force winds extend outwards up to 630 km from the center",2024-10-01T07:32:34.000Z,DOST-PAGASA,0,6,tropical cyclone bulletin nr super typhoon HASHTAG_julianph krathon issued october valid broadcast next bulletin pm today julian slightly intensifies outside philippine area responsibility still reenter tomorrow location center center eye super typhoon julian estimated based available data km west itbayat batanes intensity maximum sustained winds kmh near center gustiness kmh central pressure hpa present movement westward slowly extent tropical cyclone winds strong typhoonforce winds extend outwards km center,0,Tropical Cyclone Bulletin
"𝐎𝐩𝐞𝐫𝐚𝐭𝐢𝐨𝐧𝐬 & 𝐖𝐚𝐫𝐧𝐢𝐧𝐠 𝐑𝐞𝐬𝐩𝐨𝐧𝐬𝐞𝐬
NOVEMBER 21, 2024   |   THURSDAY
_____________________________
𝗙𝗼𝗿 𝗲𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝗶𝗲𝘀, 𝗷𝘂𝘀𝘁 𝗰𝗮𝗹𝗹:
Telephone: (63) 221-8459 / 225-3215
TM/Globe: 0997-726-2692 
Smart: 0969-233-7878
#ICDRRMOPROACTIVE
#RESCUE811
#AsensoIliganon",2024-11-22T00:23:30.000Z,,0,3,Operations Warning Responses november thursday _____________________________ For emergencies call telephone tmglobe smart HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_asensoiliganon,8,Emergency Hotlines
"5-DAY REGIONAL OUTLOOK for MINPRSD
Issued at 8:00 AM, 12 JANUARY 12
I L I G A N  C I T Y

https://www.facebook.com/share/p/1Ybdx5YxjN/",2025-01-12T04:51:40.000Z,,0,20,day regional outlook minprsd issued january,5,General Flood Advisory
"Heavy Rainfall Warning No. 13  #MINPRSD

Weather System: Easterlies / Shearline 
Issued at 02:00 PM 20 February 2025

FLOODING is Possible in Low-Lying Areas and LANDSLIDE in mountainous areas

Meanwhile, Light to Moderate rains are expected over #LanaoDelNorte ( ILIGAN CITY ) within the next 2-3 hours.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next warning to be issued at 05:00 PM Today.",2025-02-20T06:07:19.000Z,,1,7,heavy rainfall warning HASHTAG_minprsd weather system easterlies shearline issued pm february flooding possible lowlying areas landslide mountainous areas meanwhile light moderate rains expected HASHTAG_lanaodelnorte city within next hours public disaster risk reduction management offices concerned advised monitor weather condition watch next warning issued pm today,1,Public Weather Advisory
"Tropical Cyclone Update as of 2AM today.

All are advised to monitor updates from DOST-PAGASA",2024-09-10T21:56:14.000Z,DOST-PAGASA,1,4,tropical cyclone update today advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"𝐎𝐩𝐞𝐫𝐚𝐭𝐢𝐨𝐧𝐬 & 𝐖𝐚𝐫𝐧𝐢𝐧𝐠 𝐑𝐞𝐬𝐩𝐨𝐧𝐬𝐞𝐬
𝐌𝐚𝐫𝐜𝐡 𝟎𝟔, 𝟐𝟎𝟐𝟓 | 𝐓𝐡𝐮𝐫𝐬𝐝𝐚𝐲
_____________________________
𝗙𝗼𝗿 𝗲𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝗶𝗲𝘀, 𝗷𝘂𝘀𝘁 𝗰𝗮𝗹𝗹:
Telephone: (63) 221-8459
TM/Globe: 0997-726-2692 
Smart: 0969-233-7878
#ICDRRMOPROACTIVE
#RESCUE811
#opsandwarning
#AsensoIliganon",2025-03-06T23:36:50.000Z,,0,2,Operations Warning Responses March Thursday _____________________________ For emergencies call telephone tmglobe smart HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_opsandwarning HASHTAG_asensoiliganon,8,Emergency Hotlines
"No Low Pressure Areas are being monitored for Tropical Cyclone formation as of 10:00 AM today.

All are advised to monitor updates from DOST-PAGASA.",2024-10-17T02:22:58.000Z,DOST-PAGASA,1,10,low pressure areas monitored tropical cyclone formation today advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"General Flood Advisories
Issued @6AM, 29 March 2025

Region 10 (Northern Mindanao) GFA#2 Final",2025-03-28T22:45:36.000Z,,2,7,general flood advisories issued march region northern mindanao gfaHASHTAG_ final,5,General Flood Advisory
"Thunderstorm Advisory No. 6  #MINPRSD
Issued at 08:00 PM 04 November 2024 

𝐌𝐨𝐝𝐞𝐫𝐚𝐭𝐞 𝐭𝐨 𝐡𝐞𝐚𝐯𝐲 𝐫𝐚𝐢𝐧𝐬𝐡𝐨𝐰𝐞𝐫𝐬 𝐰𝐢𝐭𝐡 𝐥𝐢𝐠𝐡𝐭𝐧𝐢𝐧𝐠 𝐚𝐧𝐝 𝐬𝐭𝐫𝐨𝐧𝐠 𝐰𝐢𝐧𝐝𝐬 are being experienced in 𝐋𝐚𝐧𝐚𝐨 𝐃𝐞𝐥 𝐍𝐨𝐫𝐭𝐞 which may persist within 1-2 hours and may affect nearby areas.

All are advised to take precautionary measures against the impacts associated with these hazards which include flash floods and landslides.

Keep monitoring for updates.",2024-11-04T12:34:19.000Z,,1,8,thunderstorm advisory HASHTAG_minprsd issued pm november Moderate heavy rainshowers lightning strong winds experienced Lanao Del Norte persist within hours affect nearby areas advised take precautionary measures impacts associated hazards include flash floods landslides keep monitoring updates,2,Thunderstorm Safety Advisory
"Rainfall Advisory No. 6  FINAL  #MINPRSD
Weather System: Easterlies 
Issued at 08:00 AM 30 January 2025

All Rainfall Advisories over forecast areas are now terminated.

The public and the Disaster Risk Reduction and Management Offices concerned are still advised to MONITOR the weather condition.",2025-01-30T00:22:13.000Z,,0,5,rainfall advisory final HASHTAG_minprsd weather system easterlies issued january rainfall advisories forecast areas terminated public disaster risk reduction management offices concerned still advised monitor weather condition,1,Public Weather Advisory
"𝐈𝐂𝐃𝐑𝐑𝐌𝐎 𝐋𝐎𝐂𝐀𝐋𝐈𝐙𝐄𝐃 𝐖𝐄𝐀𝐓𝐇𝐄𝐑 𝐔𝐏𝐃𝐀𝐓𝐄:
As of 04:45 PM | 24 SEPTEMBER 2024

Moderate rains are currently being experienced in Barangay Rogongon, Iligan City. 

All river channels are being monitored and are at normal water levels.

The ICDRRMO will continue to monitor. For emergencies, just call the hotline numbers 225-3215, 221-8459, 0997-726-2692, 0969-233-787.",2024-09-24T08:50:18.000Z,,2,20,ICDRRMO LOCALIZED WEATHER UPDATE pm september moderate rains currently experienced barangay rogongon city river channels monitored normal water levels icdrrmo continue monitor emergencies call hotline numbers,3,PAGASA Weather Advisory
"At 2:00 PM today, The Low Pressure Area (LPA 12a) being monitored inside the Philippine Area of Responsibility (PAR) has a MEDIUM chance of development into a tropical depression within the next 24 hours.

All are advised to monitor updates from DOST-PAGASA.",2024-12-16T08:18:02.000Z,,3,12,pm today low pressure area lpa monitored inside philippine area responsibility par medium chance development tropical depression within next hours advised monitor updates dostpagasa,7,Weather Disturbance Updates
"As of 8:00 PM today, No Low Pressure Areas are being monitored for tropical cyclone formation.
All are advised to monitor updates from DOST-PAGASA.",2025-01-15T14:35:12.000Z,,1,4,pm today low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"𝗨𝗡𝗦𝗔𝗢𝗡 𝗣𝗔𝗚𝗧𝗔𝗪𝗔𝗚 𝗔𝗟𝗔𝗡𝗚 𝗦𝗔 𝗧𝗔𝗕𝗔𝗡𝗚?

• Magpabiling kalma ug tawag sa luwas nga Lokasyon.
• Klaro na pagka storya ug tubaga ang mga pangutana.

𝗜𝗛𝗔𝗧𝗔𝗚 𝗔𝗡𝗚 𝗞𝗜𝗡𝗔𝗛𝗔𝗡𝗚𝗟𝗔𝗡 𝗡𝗚𝗔 𝗜𝗠𝗣𝗢𝗥𝗠𝗔𝗦𝗬𝗢𝗡:

• Ngalan ug Lokasyon sa nagtawag
• Labing duol nga Landmark 
• Klase sa panghitabo
• Oras sa panghitabo
• Paghulagway sa insidente
• Tawo na involved
• Kabtangan nga naguba ug uban pang impormasyon

For more information and updates. Please contact ICDRRMO Hotline nos. 221-8459, 09977262692, 09692337878.",2025-02-26T01:54:01.000Z,Iligan City Disaster Risk Reduction & Management Office,7,9,UNSAON PAGTAWAG ALANG SA TABANG magpabiling kalma tawag luwas lokasyon klaro pagka storya tubaga pangutana IHATAG ANG KINAHANGLAN NGA IMPORMASYON ngalan lokasyon nagtawag labing duol landmark klase panghitabo oras panghitabo paghulagway insidente tawo involved kabtangan naguba uban pang impormasyon information updates please contact icdrrmo hotline nos,3,PAGASA Weather Advisory
"Rainfall Advisory No. 6  FINAL  #MINPRSD
Weather System: Wind Convergence 
Issued at 05:00 AM 07 January 2025

All Rainfall Advisories over forecast areas are now TERMINATED.

The public and the Disaster Risk Reduction and Management Offices concerned are still advised to MONITOR the weather condition.

Source: Mindanao Prsd",2025-01-06T22:39:01.000Z,,0,7,rainfall advisory final HASHTAG_minprsd weather system wind convergence issued january rainfall advisories forecast areas terminated public disaster risk reduction management offices concerned still advised monitor weather condition source mindanao prsd,1,Public Weather Advisory
"Thunderstorm Advisory No. 28  #MINPRSD
Issued at 05:30 PM 09 January 2025

𝐌𝐨𝐝𝐞𝐫𝐚𝐭𝐞 𝐭𝐨 𝐡𝐞𝐚𝐯𝐲 𝐫𝐚𝐢𝐧𝐬𝐡𝐨𝐰𝐞𝐫𝐬 𝐰𝐢𝐭𝐡 𝐥𝐢𝐠𝐡𝐭𝐧𝐢𝐧𝐠 𝐚𝐧𝐝 𝐬𝐭𝐫𝐨𝐧𝐠 𝐰𝐢𝐧𝐝𝐬 are being experienced in Lanao Del Norte (Tangcal, PantaoRagat, Munai, Pantar, PoonaPiagapo, Matungao, Maigo, Baloi, Linamon, Kauswagan, Bacolod, Tagoloan, 𝐈𝐋𝐈𝐆𝐀𝐍 𝐂𝐈𝐓𝐘) which may persist within 1-2 hours and may affect nearby areas.

All are advised to take precautionary measures against the impacts associated with these hazards which include flash floods and landslides.
Keep monitoring for updates.",2025-01-09T09:38:07.000Z,,7,13,thunderstorm advisory HASHTAG_minprsd issued pm january Moderate heavy rainshowers lightning strong winds experienced lanao del norte tangcal pantaoragat munai pantar poonapiagapo matungao maigo baloi linamon kauswagan bacolod tagoloan ILIGAN CITY persist within hours affect nearby areas advised take precautionary measures impacts associated hazards include flash floods landslides keep monitoring updates,2,Thunderstorm Safety Advisory
"𝐎𝐩𝐞𝐫𝐚𝐭𝐢𝐨𝐧𝐬 & 𝐖𝐚𝐫𝐧𝐢𝐧𝐠 𝐑𝐞𝐬𝐩𝐨𝐧𝐬𝐞𝐬
𝐒𝐞𝐩𝐭𝐞𝐦𝐛𝐞𝐫 𝟏𝟔, 𝟐𝟎𝟐𝟒 / 𝐌𝐨𝐧𝐝𝐚𝐲
_____________________________
𝗙𝗼𝗿 𝗲𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝗶𝗲𝘀, 𝗷𝘂𝘀𝘁 𝗰𝗮𝗹𝗹:
Telephone: (63) 221-8459 / 225-3215
TM/Globe: 0997-726-2692 
Smart: 0969-233-7878
#ICDRRMOPROACTIVE
#RESCUE811
#AsensoIliganon",2024-09-16T23:37:05.000Z,,1,15,Operations Warning Responses September Monday _____________________________ For emergencies call telephone tmglobe smart HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_asensoiliganon,8,Emergency Hotlines
"Tropical Cyclone Update for Severe Tropical Storm #NikaPH {TORAJI} and Typhoon {YINXING} (formerly #MarcePH) as of 2:00 PM today.

Meanwhile, Low Pressure Area (LPA 11c) still has a HIGH chance of developing into a Tropical Depression within the next 24hrs.

All are advised to monitor updates from DOST-PAGASA",2024-11-10T08:09:12.000Z,,0,11,tropical cyclone update severe tropical storm HASHTAG_nikaph toraji typhoon yinxing formerly HASHTAG_marceph pm today meanwhile low pressure area lpa still high chance developing tropical depression within next hrs advised monitor updates dostpagasa,7,Weather Disturbance Updates
